GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
expense-tracker-backend,com.example.expensetracker.config,SecurityConfig,0,153,0,0,0,29,0,10,0,10
expense-tracker-backend,com.example.expensetracker.config,PasswordConfig,0,7,0,0,0,2,0,2,0,2
expense-tracker-backend,com.example.expensetracker.config,StartupDataLoader,12,41,2,0,4,13,2,4,1,4
expense-tracker-backend,com.example.expensetracker.config,RedisCacheConfig,0,25,0,0,0,9,0,2,0,2
expense-tracker-backend,com.example.expensetracker.config,WebConfig,0,30,0,0,0,5,0,2,0,2
expense-tracker-backend,com.example.expensetracker,ExpenseTrackerApplication,5,3,0,0,2,1,1,1,1,1
expense-tracker-backend,com.example.expensetracker.security,JwtAuthenticationFilter,74,9,10,0,22,4,6,1,1,1
expense-tracker-backend,com.example.expensetracker.security,JwtService,20,66,5,1,5,22,3,3,0,3
expense-tracker-backend,com.example.expensetracker.security,OAuth2SuccessHandler,220,15,40,0,55,6,25,1,5,1
expense-tracker-backend,com.example.expensetracker.model,Category,14,0,2,0,6,0,3,0,2,0
expense-tracker-backend,com.example.expensetracker.model,Expense,14,0,2,0,6,0,3,0,2,0
expense-tracker-backend,com.example.expensetracker.model,User,7,7,1,1,3,3,2,1,1,1
expense-tracker-backend,com.example.expensetracker.model,Budget,20,0,2,0,8,0,4,0,3,0
expense-tracker-backend,com.example.expensetracker.model,Currency,14,0,2,0,6,0,3,0,2,0
expense-tracker-backend,com.example.expensetracker.model,News,17,0,2,0,7,0,4,0,3,0
expense-tracker-backend,com.example.expensetracker.model,User.Role,0,15,0,0,0,3,0,1,0,1
expense-tracker-backend,com.example.expensetracker.model,Income,14,0,2,0,6,0,3,0,2,0
expense-tracker-backend,com.example.expensetracker.controller,AdminController,127,175,18,12,22,45,17,12,5,9
expense-tracker-backend,com.example.expensetracker.controller,IncomeController.IncomeRequest,15,0,0,0,1,0,1,0,1,0
expense-tracker-backend,com.example.expensetracker.controller,AdminController.NewsRequest,0,12,0,0,0,1,0,1,0,1
expense-tracker-backend,com.example.expensetracker.controller,PublicContentController.NbrbRate,12,0,0,0,1,0,1,0,1,0
expense-tracker-backend,com.example.expensetracker.controller,AuthController.LoginRequest,0,9,0,0,0,1,0,1,0,1
expense-tracker-backend,com.example.expensetracker.controller,BudgetController,124,6,10,0,27,3,11,1,6,1
expense-tracker-backend,com.example.expensetracker.controller,CategoryController.CategoryRequest,0,6,0,0,0,1,0,1,0,1
expense-tracker-backend,com.example.expensetracker.controller,ExpenseController.ExpenseRequest,21,0,0,0,1,0,1,0,1,0
expense-tracker-backend,com.example.expensetracker.controller,NotificationController,14,52,2,2,2,14,2,6,0,6
expense-tracker-backend,com.example.expensetracker.controller,ExpenseController,393,12,44,0,86,5,27,1,5,1
expense-tracker-backend,com.example.expensetracker.controller,BudgetController.BudgetRequest,12,0,0,0,1,0,1,0,1,0
expense-tracker-backend,com.example.expensetracker.controller,CategoryController,40,216,10,16,7,47,10,13,0,10
expense-tracker-backend,com.example.expensetracker.controller,PublicContentController,30,9,0,0,10,4,2,1,2,1
expense-tracker-backend,com.example.expensetracker.controller,DashboardController,265,9,2,0,61,4,7,1,6,1
expense-tracker-backend,com.example.expensetracker.controller,IncomeController,240,6,22,0,54,3,15,1,4,1
expense-tracker-backend,com.example.expensetracker.controller,AuthController,150,114,21,3,38,26,15,4,4,3
expense-tracker-backend,com.example.expensetracker.controller,AuthController.RegisterRequest,0,18,0,0,0,1,0,1,0,1
expense-tracker-backend,com.example.expensetracker.service,CurrencyRateService.NbrbRate,0,12,0,0,0,1,0,1,0,1
expense-tracker-backend,com.example.expensetracker.service,UserService,13,53,1,3,2,16,3,4,2,3
expense-tracker-backend,com.example.expensetracker.service,CurrencyRateService,1,94,5,11,1,15,5,5,0,2
